#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AFTPH	AP4S1	9606.ENSP00000238855	9606.ENSP00000216366	0	0	0.900	0	0.900
AFTPH	AP3M1	9606.ENSP00000238855	9606.ENSP00000347408	0	0	0.540	0	0.540
AFTPH	AP3D1	9606.ENSP00000238855	9606.ENSP00000495274	0	0	0.540	0	0.540
AFTPH	SLC18A3	9606.ENSP00000238855	9606.ENSP00000363229	0	0	0.540	0	0.540
AFTPH	AP3B1	9606.ENSP00000238855	9606.ENSP00000255194	0	0	0.540	0	0.540
AFTPH	AP3B2	9606.ENSP00000238855	9606.ENSP00000440984	0	0	0.540	0	0.540
AFTPH	CLBA1	9606.ENSP00000238855	9606.ENSP00000450114	0	0	0.540	0	0.540
AFTPH	AP1M1	9606.ENSP00000238855	9606.ENSP00000388996	0	0.226	0.540	0	0.628
AFTPH	AP1G1	9606.ENSP00000238855	9606.ENSP00000377148	0	0.292	0.540	0	0.660
AFTPH	SGIP1	9606.ENSP00000238855	9606.ENSP00000360076	0	0	0.720	0	0.720
AFTPH	AP3M2	9606.ENSP00000238855	9606.ENSP00000428787	0	0	0.720	0	0.720
AFTPH	AP1G2	9606.ENSP00000238855	9606.ENSP00000312442	0	0	0.540	0.423	0.723
AFTPH	AP1B1	9606.ENSP00000238855	9606.ENSP00000350199	0	0.451	0.540	0	0.736
AFTPH	AP1S3	9606.ENSP00000238855	9606.ENSP00000379891	0	0.610	0.540	0	0.812
AFTPH	AP1M2	9606.ENSP00000238855	9606.ENSP00000465685	0	0.657	0.540	0	0.835
AFTPH	AP1S2	9606.ENSP00000238855	9606.ENSP00000500695	0	0.652	0.720	0	0.898
AFTPH	AP5S1	9606.ENSP00000238855	9606.ENSP00000481750	0	0	0.900	0	0.900
AFTPH	AP4E1	9606.ENSP00000238855	9606.ENSP00000261842	0	0	0.900	0	0.900
AFTPH	AP3S2	9606.ENSP00000238855	9606.ENSP00000338777	0	0	0.900	0	0.900
AFTPH	AP4M1	9606.ENSP00000238855	9606.ENSP00000403663	0	0	0.900	0	0.900
AFTPH	AP3S1	9606.ENSP00000238855	9606.ENSP00000325369	0	0	0.900	0	0.900
AFTPH	AP5B1	9606.ENSP00000238855	9606.ENSP00000454303	0	0	0.900	0	0.900
AFTPH	AP5Z1	9606.ENSP00000238855	9606.ENSP00000497815	0	0	0.900	0	0.900
AFTPH	AP2S1	9606.ENSP00000238855	9606.ENSP00000470176	0	0	0.900	0	0.900
AFTPH	AP5M1	9606.ENSP00000238855	9606.ENSP00000261558	0	0	0.900	0	0.900
AFTPH	AP2M1	9606.ENSP00000238855	9606.ENSP00000403362	0	0	0.900	0	0.900
AFTPH	AP2A1	9606.ENSP00000238855	9606.ENSP00000351926	0	0	0.900	0	0.900
AFTPH	AP4B1	9606.ENSP00000238855	9606.ENSP00000358582	0	0	0.900	0	0.900
AFTPH	AP2A2	9606.ENSP00000238855	9606.ENSP00000327694	0	0	0.900	0	0.900
AFTPH	AP1S1	9606.ENSP00000238855	9606.ENSP00000336666	0	0	0.900	0	0.900
