node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCB9	LAMP1	9606.ENSP00000440288	9606.ENSP00000333298	0	0	0	0.683	0.683
AMELX	LAMP1	9606.ENSP00000370088	9606.ENSP00000333298	0	0	0	0.759	0.759
CD4	LAMP1	9606.ENSP00000011653	9606.ENSP00000333298	0	0	0	0.561	0.561
CD4	FLNA	9606.ENSP00000011653	9606.ENSP00000358866	0	0	0	0.756	0.756
CTSD	LAMP1	9606.ENSP00000236671	9606.ENSP00000333298	0	0.300	0	0.298	0.487
EGFR	LGALS3	9606.ENSP00000275493	9606.ENSP00000254301	0	0.483	0	0.890	0.940
EGFR	HSPA4	9606.ENSP00000275493	9606.ENSP00000302961	0	0.489	0	0	0.489
EGFR	LAMP1	9606.ENSP00000275493	9606.ENSP00000333298	0	0.457	0	0.257	0.579
EGFR	HSPA5	9606.ENSP00000275493	9606.ENSP00000324173	0	0.483	0	0.791	0.887
ERAP2	LAMP1	9606.ENSP00000400376	9606.ENSP00000333298	0	0	0	0.586	0.586
FLNA	LAMP1	9606.ENSP00000358866	9606.ENSP00000333298	0	0.059	0	0.446	0.456
GTPBP1	LAMP1	9606.ENSP00000216044	9606.ENSP00000333298	0	0	0	0.817	0.817
HSPA4	HSPA4L	9606.ENSP00000302961	9606.ENSP00000296464	0	0	0.600	0	0.600
HSPA4	LAMP1	9606.ENSP00000302961	9606.ENSP00000333298	0	0	0	0.428	0.428
HSPA4	HSPH1	9606.ENSP00000302961	9606.ENSP00000318687	0	0.674	0	0.508	0.832
HSPA4	HSPA5	9606.ENSP00000302961	9606.ENSP00000324173	0	0.286	0.600	0.523	0.852
HSPA4L	LAMP1	9606.ENSP00000296464	9606.ENSP00000333298	0	0	0	0.428	0.428
HSPA4L	HSPA5	9606.ENSP00000296464	9606.ENSP00000324173	0	0.260	0.600	0.285	0.769
HSPA5	HSPH1	9606.ENSP00000324173	9606.ENSP00000318687	0	0.260	0	0.451	0.576
HSPA5	LAMP1	9606.ENSP00000324173	9606.ENSP00000333298	0	0.129	0	0.373	0.430
HSPH1	LAMP1	9606.ENSP00000318687	9606.ENSP00000333298	0	0	0	0.428	0.428
LAMP1	NPRL2	9606.ENSP00000333298	9606.ENSP00000232501	0	0.504	0	0	0.504
LAMP1	LGALS3	9606.ENSP00000333298	9606.ENSP00000254301	0	0.457	0	0.730	0.847
LAMP1	WDR59	9606.ENSP00000333298	9606.ENSP00000262144	0	0.509	0	0	0.509
LAMP1	NOTCH1	9606.ENSP00000333298	9606.ENSP00000277541	0	0.483	0	0	0.483
LAMP1	WDR24	9606.ENSP00000333298	9606.ENSP00000293883	0	0.504	0	0.169	0.570
LAMP1	PDE7A	9606.ENSP00000333298	9606.ENSP00000385632	0	0	0	0.431	0.431
LAMP1	SZT2	9606.ENSP00000333298	9606.ENSP00000457168	0	0.504	0	0	0.504
LAMP1	NPRL3	9606.ENSP00000333298	9606.ENSP00000483814	0	0.504	0	0	0.504
NPRL2	SZT2	9606.ENSP00000232501	9606.ENSP00000457168	0	0.504	0.600	0	0.793
NPRL2	WDR59	9606.ENSP00000232501	9606.ENSP00000262144	0	0.686	0.900	0	0.967
NPRL2	WDR24	9606.ENSP00000232501	9606.ENSP00000293883	0	0.605	0.900	0.369	0.972
NPRL2	NPRL3	9606.ENSP00000232501	9606.ENSP00000483814	0	0.959	0.900	0.959	0.999
NPRL3	WDR59	9606.ENSP00000483814	9606.ENSP00000262144	0	0.483	0.900	0	0.946
NPRL3	WDR24	9606.ENSP00000483814	9606.ENSP00000293883	0	0.586	0.900	0.308	0.968
NPRL3	SZT2	9606.ENSP00000483814	9606.ENSP00000457168	0	0.483	0.600	0	0.784
SZT2	WDR59	9606.ENSP00000457168	9606.ENSP00000262144	0	0.597	0.600	0	0.832
SZT2	WDR24	9606.ENSP00000457168	9606.ENSP00000293883	0	0.516	0.600	0	0.798
WDR24	WDR59	9606.ENSP00000293883	9606.ENSP00000262144	0	0.602	0.900	0.952	0.997
