node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AP4M1	APP	9606.ENSP00000352603	9606.ENSP00000284981	0	0	0.600	0.753	0.896
APBA1	APP	9606.ENSP00000265381	9606.ENSP00000284981	0	0.914	0	0.886	0.989
APBA2	APP	9606.ENSP00000453293	9606.ENSP00000284981	0	0.812	0	0.895	0.979
APBB1	APLP1	9606.ENSP00000477213	9606.ENSP00000221891	0	0.731	0	0.048	0.733
APBB1	LRP1	9606.ENSP00000477213	9606.ENSP00000243077	0	0.562	0	0.679	0.853
APBB1	APLP2	9606.ENSP00000477213	9606.ENSP00000263574	0	0.684	0	0.622	0.875
APBB1	APP	9606.ENSP00000477213	9606.ENSP00000284981	0	0.926	0	0.899	0.992
APBB1	LRP8	9606.ENSP00000477213	9606.ENSP00000303634	0	0.270	0	0.732	0.795
APBB1	KAT5	9606.ENSP00000477213	9606.ENSP00000340330	0	0.483	0.600	0.900	0.977
APBB2	APLP1	9606.ENSP00000427211	9606.ENSP00000221891	0	0.650	0	0.280	0.737
APBB2	APLP2	9606.ENSP00000427211	9606.ENSP00000263574	0	0.690	0	0.186	0.737
APBB2	APP	9606.ENSP00000427211	9606.ENSP00000284981	0	0.606	0	0.649	0.856
APH1A	APP	9606.ENSP00000358105	9606.ENSP00000284981	0	0.800	0	0.273	0.848
APH1A	NCSTN	9606.ENSP00000358105	9606.ENSP00000294785	0	0.962	0.900	0.952	0.999
APH1A	PSEN1	9606.ENSP00000358105	9606.ENSP00000326366	0	0.961	0.900	0.939	0.999
APH1A	PSENEN	9606.ENSP00000358105	9606.ENSP00000468411	0	0.960	0.900	0.952	0.999
APLP1	APBB1	9606.ENSP00000221891	9606.ENSP00000477213	0	0.731	0	0.048	0.733
APLP1	APBB2	9606.ENSP00000221891	9606.ENSP00000427211	0	0.650	0	0.280	0.737
APLP1	APP	9606.ENSP00000221891	9606.ENSP00000284981	0	0.381	0	0.702	0.807
APLP2	APBB2	9606.ENSP00000263574	9606.ENSP00000427211	0	0.690	0	0.186	0.737
APLP2	APP	9606.ENSP00000263574	9606.ENSP00000284981	0	0.391	0	0.698	0.808
APLP2	APBB1	9606.ENSP00000263574	9606.ENSP00000477213	0	0.684	0	0.622	0.875
APOA1	APOA4	9606.ENSP00000236850	9606.ENSP00000350425	0	0	0.800	0.261	0.846
APOA1	APP	9606.ENSP00000236850	9606.ENSP00000284981	0	0.493	0.720	0	0.852
APOA1	CLU	9606.ENSP00000236850	9606.ENSP00000315130	0	0.153	0.720	0.873	0.967
APOA1	APOE	9606.ENSP00000236850	9606.ENSP00000252486	0	0.273	0.800	0.803	0.968
APOA4	APOA1	9606.ENSP00000350425	9606.ENSP00000236850	0	0	0.800	0.261	0.846
APOA4	APOE	9606.ENSP00000350425	9606.ENSP00000252486	0	0.175	0.800	0	0.827
APOA4	APP	9606.ENSP00000350425	9606.ENSP00000284981	0	0.285	0.720	0	0.791
APOA4	CLU	9606.ENSP00000350425	9606.ENSP00000315130	0	0.102	0.720	0.049	0.739
APOE	APOA1	9606.ENSP00000252486	9606.ENSP00000236850	0	0.273	0.800	0.803	0.968
APOE	LRP1	9606.ENSP00000252486	9606.ENSP00000243077	0	0.572	0	0.898	0.954
APOE	APOA4	9606.ENSP00000252486	9606.ENSP00000350425	0	0.175	0.800	0	0.827
APOE	RELN	9606.ENSP00000252486	9606.ENSP00000392423	0	0	0	0.892	0.892
APOE	CLU	9606.ENSP00000252486	9606.ENSP00000315130	0	0	0.720	0.699	0.912
APOE	LRP8	9606.ENSP00000252486	9606.ENSP00000303634	0	0.494	0	0.898	0.946
APOE	SORL1	9606.ENSP00000252486	9606.ENSP00000260197	0	0.572	0	0.891	0.951
APOE	APP	9606.ENSP00000252486	9606.ENSP00000284981	0	0.525	0.720	0.789	0.969
APP	RTN4R	9606.ENSP00000284981	9606.ENSP00000043402	0	0.048	0	0.843	0.844
APP	NGFR	9606.ENSP00000284981	9606.ENSP00000172229	0	0.530	0.900	0.656	0.982
APP	NTN1	9606.ENSP00000284981	9606.ENSP00000173229	0	0.297	0	0.720	0.794
APP	APLP1	9606.ENSP00000284981	9606.ENSP00000221891	0	0.381	0	0.702	0.807
APP	APOA1	9606.ENSP00000284981	9606.ENSP00000236850	0	0.493	0.720	0	0.852
APP	MAPK8IP1	9606.ENSP00000284981	9606.ENSP00000241014	0	0.621	0	0.735	0.895
APP	LRP1	9606.ENSP00000284981	9606.ENSP00000243077	0	0.493	0	0.848	0.920
APP	APOE	9606.ENSP00000284981	9606.ENSP00000252486	0	0.525	0.720	0.789	0.969
APP	GSAP	9606.ENSP00000284981	9606.ENSP00000257626	0	0.483	0	0.764	0.872
APP	SORL1	9606.ENSP00000284981	9606.ENSP00000260197	0	0.703	0.800	0.898	0.993
APP	EP300	9606.ENSP00000284981	9606.ENSP00000263253	0	0	0	0.821	0.821
APP	APLP2	9606.ENSP00000284981	9606.ENSP00000263574	0	0.391	0	0.698	0.808
APP	GPC1	9606.ENSP00000284981	9606.ENSP00000264039	0	0.393	0.900	0.456	0.964
APP	APBA1	9606.ENSP00000284981	9606.ENSP00000265381	0	0.914	0	0.886	0.989
APP	IDE	9606.ENSP00000284981	9606.ENSP00000265986	0	0.932	0	0.285	0.949
APP	NOTCH1	9606.ENSP00000284981	9606.ENSP00000277541	0	0.483	0	0.846	0.917
APP	LRP8	9606.ENSP00000284981	9606.ENSP00000303634	0	0.282	0	0.718	0.789
APP	APOA4	9606.ENSP00000284981	9606.ENSP00000350425	0	0.285	0.720	0	0.791
APP	ITGB1	9606.ENSP00000284981	9606.ENSP00000379350	0	0.228	0	0.751	0.800
APP	CASP3	9606.ENSP00000284981	9606.ENSP00000311032	0	0.632	0	0.515	0.813
APP	CNTN4	9606.ENSP00000284981	9606.ENSP00000380602	0	0.296	0	0.754	0.819
APP	TGFB2	9606.ENSP00000284981	9606.ENSP00000355896	0	0.572	0	0.599	0.821
APP	NTRK1	9606.ENSP00000284981	9606.ENSP00000431418	0	0.342	0	0.746	0.825
APP	PSENEN	9606.ENSP00000284981	9606.ENSP00000468411	0	0.801	0	0.166	0.827
APP	GULP1	9606.ENSP00000284981	9606.ENSP00000386289	0	0.800	0	0.176	0.828
APP	F11	9606.ENSP00000284981	9606.ENSP00000384957	0	0.843	0	0	0.844
APP	DAB1	9606.ENSP00000284981	9606.ENSP00000360280	0	0.583	0	0.642	0.844
APP	APH1A	9606.ENSP00000284981	9606.ENSP00000358105	0	0.800	0	0.273	0.848
APP	APBB2	9606.ENSP00000284981	9606.ENSP00000427211	0	0.606	0	0.649	0.856
APP	CLU	9606.ENSP00000284981	9606.ENSP00000315130	0	0.525	0.720	0	0.861
APP	CNTN2	9606.ENSP00000284981	9606.ENSP00000330633	0	0.097	0	0.855	0.864
APP	RELN	9606.ENSP00000284981	9606.ENSP00000392423	0	0.365	0	0.796	0.865
APP	KLC1	9606.ENSP00000284981	9606.ENSP00000414982	0	0.483	0	0.755	0.867
APP	ITM2B	9606.ENSP00000284981	9606.ENSP00000367828	0	0.355	0	0.814	0.875
APP	KLK6	9606.ENSP00000284981	9606.ENSP00000366047	0	0.859	0	0.182	0.880
APP	TOMM40	9606.ENSP00000284981	9606.ENSP00000410339	0	0	0	0.884	0.884
APP	AP4M1	9606.ENSP00000284981	9606.ENSP00000352603	0	0	0.600	0.753	0.896
APP	GRB2	9606.ENSP00000284981	9606.ENSP00000376345	0	0.270	0	0.883	0.911
APP	SPON1	9606.ENSP00000284981	9606.ENSP00000460236	0	0.361	0	0.878	0.919
APP	NAE1	9606.ENSP00000284981	9606.ENSP00000351990	0	0.437	0	0.867	0.922
APP	SHC1	9606.ENSP00000284981	9606.ENSP00000401303	0	0.491	0	0.877	0.935
APP	PITRM1	9606.ENSP00000284981	9606.ENSP00000370377	0	0.943	0	0	0.943
APP	PRNP	9606.ENSP00000284981	9606.ENSP00000368752	0	0.592	0	0.868	0.944
APP	KAT5	9606.ENSP00000284981	9606.ENSP00000340330	0	0.525	0	0.907	0.954
APP	BACE1	9606.ENSP00000284981	9606.ENSP00000318585	0	0.525	0	0.908	0.954
APP	PSEN1	9606.ENSP00000284981	9606.ENSP00000326366	0	0.906	0	0.631	0.964
APP	TNFRSF21	9606.ENSP00000284981	9606.ENSP00000296861	0	0.691	0	0.898	0.967
APP	NCSTN	9606.ENSP00000284981	9606.ENSP00000294785	0	0.895	0	0.781	0.976
APP	APBA2	9606.ENSP00000284981	9606.ENSP00000453293	0	0.812	0	0.895	0.979
APP	APBB1	9606.ENSP00000284981	9606.ENSP00000477213	0	0.926	0	0.899	0.992
BACE1	SORL1	9606.ENSP00000318585	9606.ENSP00000260197	0	0.058	0	0.728	0.732
BACE1	APP	9606.ENSP00000318585	9606.ENSP00000284981	0	0.525	0	0.908	0.954
BACE1	NCSTN	9606.ENSP00000318585	9606.ENSP00000294785	0	0.270	0	0.846	0.883
BACE1	PSEN1	9606.ENSP00000318585	9606.ENSP00000326366	0	0.270	0	0.851	0.887
CASP3	APP	9606.ENSP00000311032	9606.ENSP00000284981	0	0.632	0	0.515	0.813
CLU	APOA1	9606.ENSP00000315130	9606.ENSP00000236850	0	0.153	0.720	0.873	0.967
CLU	APOE	9606.ENSP00000315130	9606.ENSP00000252486	0	0	0.720	0.699	0.912
CLU	APP	9606.ENSP00000315130	9606.ENSP00000284981	0	0.525	0.720	0	0.861
