node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AGER	TTR	9606.ENSP00000364210	9606.ENSP00000237014	0	0.370	0	0.752	0.837
AGER	APP	9606.ENSP00000364210	9606.ENSP00000284981	0	0.070	0.500	0.426	0.709
AP4M1	APP	9606.ENSP00000403663	9606.ENSP00000284981	0	0	0.500	0.559	0.770
APBA1	APP	9606.ENSP00000265381	9606.ENSP00000284981	0	0.943	0	0.717	0.983
APBA2	APP	9606.ENSP00000453293	9606.ENSP00000284981	0	0.712	0	0.951	0.985
APBA3	APP	9606.ENSP00000315136	9606.ENSP00000284981	0	0.457	0	0.718	0.840
APBB1	LRP1	9606.ENSP00000477213	9606.ENSP00000243077	0	0.524	0	0.583	0.793
APBB1	APP	9606.ENSP00000477213	9606.ENSP00000284981	0	0.950	0.900	0.982	0.999
APBB1	LRP8	9606.ENSP00000477213	9606.ENSP00000303634	0	0.292	0	0.732	0.802
APBB1	KAT5	9606.ENSP00000477213	9606.ENSP00000340330	0	0.457	0.500	0.982	0.994
APBB2	APP	9606.ENSP00000427211	9606.ENSP00000284981	0	0.651	0	0.876	0.955
APBB3	APP	9606.ENSP00000346378	9606.ENSP00000284981	0	0.457	0	0.794	0.883
APH1A	APP	9606.ENSP00000358105	9606.ENSP00000284981	0	0.807	0	0	0.807
APH1A	NCSTN	9606.ENSP00000358105	9606.ENSP00000294785	0	0.974	0.900	0.987	0.999
APH1A	PSEN1	9606.ENSP00000358105	9606.ENSP00000326366	0	0.974	0.900	0.986	0.999
APH1A	PSENEN	9606.ENSP00000358105	9606.ENSP00000468411	0	0.945	0.900	0.987	0.999
APOA1	CETP	9606.ENSP00000236850	9606.ENSP00000200676	0	0	0.720	0.063	0.726
APOA1	APOH	9606.ENSP00000236850	9606.ENSP00000205948	0	0	0.720	0.256	0.782
APOA1	PON1	9606.ENSP00000236850	9606.ENSP00000222381	0	0	0.720	0.978	0.993
APOA1	APOC3	9606.ENSP00000236850	9606.ENSP00000227667	0	0.077	0.800	0.945	0.988
APOA1	APOB	9606.ENSP00000236850	9606.ENSP00000233242	0	0.526	0.800	0.975	0.997
APOA1	PEX3	9606.ENSP00000236850	9606.ENSP00000356563	0	0	0.720	0	0.720
APOA1	DBI	9606.ENSP00000236850	9606.ENSP00000486361	0	0	0.720	0	0.720
APOA1	APOC4	9606.ENSP00000236850	9606.ENSP00000468236	0	0	0.720	0	0.720
APOA1	SELENOS	9606.ENSP00000236850	9606.ENSP00000381282	0	0	0.720	0	0.720
APOA1	PCYOX1	9606.ENSP00000236850	9606.ENSP00000387654	0	0	0.720	0	0.720
APOA1	LPA	9606.ENSP00000236850	9606.ENSP00000321334	0	0	0.720	0	0.720
APOA1	APOM	9606.ENSP00000236850	9606.ENSP00000365081	0	0	0.720	0.231	0.775
APOA1	PLTP	9606.ENSP00000236850	9606.ENSP00000417138	0	0.292	0.720	0	0.793
APOA1	PLA2G7	9606.ENSP00000236850	9606.ENSP00000274793	0	0	0.720	0.375	0.817
APOA1	APOA5	9606.ENSP00000236850	9606.ENSP00000445002	0	0	0.720	0.630	0.891
APOA1	TTR	9606.ENSP00000236850	9606.ENSP00000237014	0	0.077	0	0.888	0.892
APOA1	APP	9606.ENSP00000236850	9606.ENSP00000284981	0	0.457	0.720	0.722	0.954
APOA1	APOA4	9606.ENSP00000236850	9606.ENSP00000350425	0	0	0.800	0.845	0.967
APOA1	APOC2	9606.ENSP00000236850	9606.ENSP00000466775	0	0.241	0.800	0.846	0.974
APOA1	APOC1	9606.ENSP00000236850	9606.ENSP00000465356	0	0.248	0.720	0.952	0.989
APOA1	LCAT	9606.ENSP00000236850	9606.ENSP00000264005	0	0.457	0.720	0.942	0.990
APOA1	HPR	9606.ENSP00000236850	9606.ENSP00000441828	0	0	0.720	0.981	0.994
APOA1	CLU	9606.ENSP00000236850	9606.ENSP00000315130	0	0	0.720	0.980	0.994
APOA1	APOE	9606.ENSP00000236850	9606.ENSP00000252486	0	0	0.800	0.982	0.996
APOA1	APOA2	9606.ENSP00000236850	9606.ENSP00000356969	0	0.457	0.800	0.982	0.997
APOA1	APOL1	9606.ENSP00000236850	9606.ENSP00000317674	0	0.287	0.800	0.981	0.997
APOA2	CETP	9606.ENSP00000356969	9606.ENSP00000200676	0	0	0.720	0	0.720
APOA2	APOH	9606.ENSP00000356969	9606.ENSP00000205948	0	0	0.720	0.141	0.749
APOA2	PON1	9606.ENSP00000356969	9606.ENSP00000222381	0	0	0.720	0.482	0.848
APOA2	APOC3	9606.ENSP00000356969	9606.ENSP00000227667	0	0	0.800	0.898	0.978
APOA2	APOB	9606.ENSP00000356969	9606.ENSP00000233242	0	0.422	0.720	0.727	0.951
APOA2	APOA1	9606.ENSP00000356969	9606.ENSP00000236850	0	0.457	0.800	0.982	0.997
APOA2	APOE	9606.ENSP00000356969	9606.ENSP00000252486	0	0.422	0.800	0.982	0.997
APOA2	LCAT	9606.ENSP00000356969	9606.ENSP00000264005	0	0.287	0.720	0.408	0.871
APOA2	PLA2G7	9606.ENSP00000356969	9606.ENSP00000274793	0	0	0.720	0.214	0.770
APOA2	APP	9606.ENSP00000356969	9606.ENSP00000284981	0	0	0.720	0.549	0.868
APOA2	CLU	9606.ENSP00000356969	9606.ENSP00000315130	0	0	0.720	0.678	0.906
APOA2	APOL1	9606.ENSP00000356969	9606.ENSP00000317674	0	0	0.720	0.299	0.795
APOA2	LPA	9606.ENSP00000356969	9606.ENSP00000321334	0	0	0.720	0.431	0.833
APOA2	APOA4	9606.ENSP00000356969	9606.ENSP00000350425	0	0	0.800	0.574	0.911
APOA2	PEX3	9606.ENSP00000356969	9606.ENSP00000356563	0	0	0.720	0	0.720
APOA2	DBI	9606.ENSP00000356969	9606.ENSP00000486361	0	0	0.720	0	0.720
APOA2	SELENOS	9606.ENSP00000356969	9606.ENSP00000381282	0	0	0.720	0	0.720
APOA2	PCYOX1	9606.ENSP00000356969	9606.ENSP00000387654	0	0.162	0.720	0	0.755
APOA2	APOC4	9606.ENSP00000356969	9606.ENSP00000468236	0	0	0.720	0.210	0.769
APOA2	HPR	9606.ENSP00000356969	9606.ENSP00000441828	0	0	0.720	0.482	0.848
APOA2	APOM	9606.ENSP00000356969	9606.ENSP00000365081	0	0	0.720	0.513	0.857
APOA2	PLTP	9606.ENSP00000356969	9606.ENSP00000417138	0	0.292	0.720	0.447	0.880
APOA2	APOA5	9606.ENSP00000356969	9606.ENSP00000445002	0	0	0.720	0.608	0.885
APOA2	APOC1	9606.ENSP00000356969	9606.ENSP00000465356	0	0	0.720	0.820	0.947
APOA2	APOC2	9606.ENSP00000356969	9606.ENSP00000466775	0	0.570	0.800	0.481	0.951
APOA4	CETP	9606.ENSP00000350425	9606.ENSP00000200676	0	0	0.720	0	0.720
APOA4	APOH	9606.ENSP00000350425	9606.ENSP00000205948	0	0	0.720	0.174	0.758
APOA4	PON1	9606.ENSP00000350425	9606.ENSP00000222381	0	0	0.720	0.108	0.739
APOA4	APOC3	9606.ENSP00000350425	9606.ENSP00000227667	0	0	0.800	0.545	0.905
APOA4	APOB	9606.ENSP00000350425	9606.ENSP00000233242	0	0	0.720	0.646	0.896
APOA4	APOA1	9606.ENSP00000350425	9606.ENSP00000236850	0	0	0.800	0.845	0.967
APOA4	APOE	9606.ENSP00000350425	9606.ENSP00000252486	0	0	0.800	0.969	0.993
APOA4	LCAT	9606.ENSP00000350425	9606.ENSP00000264005	0	0	0.720	0	0.720
APOA4	PLA2G7	9606.ENSP00000350425	9606.ENSP00000274793	0	0	0.720	0	0.720
APOA4	APP	9606.ENSP00000350425	9606.ENSP00000284981	0	0.292	0.720	0	0.793
APOA4	CLU	9606.ENSP00000350425	9606.ENSP00000315130	0	0	0.720	0.798	0.941
APOA4	APOL1	9606.ENSP00000350425	9606.ENSP00000317674	0	0	0.720	0.393	0.822
APOA4	LPA	9606.ENSP00000350425	9606.ENSP00000321334	0	0	0.720	0	0.720
APOA4	DBI	9606.ENSP00000350425	9606.ENSP00000486361	0	0	0.720	0	0.720
APOA4	PCYOX1	9606.ENSP00000350425	9606.ENSP00000387654	0	0	0.720	0	0.720
APOA4	HPR	9606.ENSP00000350425	9606.ENSP00000441828	0	0	0.720	0	0.720
APOA4	APOC4	9606.ENSP00000350425	9606.ENSP00000468236	0	0	0.720	0	0.720
APOA4	PLTP	9606.ENSP00000350425	9606.ENSP00000417138	0	0	0.720	0	0.720
APOA4	PEX3	9606.ENSP00000350425	9606.ENSP00000356563	0	0	0.720	0	0.720
APOA4	SELENOS	9606.ENSP00000350425	9606.ENSP00000381282	0	0	0.720	0	0.720
APOA4	APOM	9606.ENSP00000350425	9606.ENSP00000365081	0	0	0.720	0.508	0.856
APOA4	APOA5	9606.ENSP00000350425	9606.ENSP00000445002	0	0	0.720	0.541	0.865
APOA4	APOC1	9606.ENSP00000350425	9606.ENSP00000465356	0	0	0.720	0.625	0.890
APOA4	APOC2	9606.ENSP00000350425	9606.ENSP00000466775	0	0	0.800	0.547	0.905
APOA4	APOA2	9606.ENSP00000350425	9606.ENSP00000356969	0	0	0.800	0.574	0.911
APOA5	CETP	9606.ENSP00000445002	9606.ENSP00000200676	0	0	0.720	0	0.720
APOA5	APOH	9606.ENSP00000445002	9606.ENSP00000205948	0	0	0.720	0	0.720
APOA5	PON1	9606.ENSP00000445002	9606.ENSP00000222381	0	0	0.720	0	0.720
APOA5	APOC3	9606.ENSP00000445002	9606.ENSP00000227667	0	0	0.720	0	0.720
APOA5	APOB	9606.ENSP00000445002	9606.ENSP00000233242	0	0	0.720	0.420	0.830
APOA5	APOA1	9606.ENSP00000445002	9606.ENSP00000236850	0	0	0.720	0.630	0.891
APOA5	APOE	9606.ENSP00000445002	9606.ENSP00000252486	0	0	0.900	0.668	0.965
APOA5	LCAT	9606.ENSP00000445002	9606.ENSP00000264005	0	0	0.720	0	0.720
APOA5	PLA2G7	9606.ENSP00000445002	9606.ENSP00000274793	0	0	0.900	0	0.900
APOA5	APP	9606.ENSP00000445002	9606.ENSP00000284981	0	0	0.720	0.285	0.791
APOA5	CLU	9606.ENSP00000445002	9606.ENSP00000315130	0	0	0.720	0.460	0.842
APOA5	APOL1	9606.ENSP00000445002	9606.ENSP00000317674	0	0	0.720	0.300	0.795
APOA5	LPA	9606.ENSP00000445002	9606.ENSP00000321334	0	0	0.720	0	0.720
APOA5	APOA4	9606.ENSP00000445002	9606.ENSP00000350425	0	0	0.720	0.541	0.865
APOA5	PEX3	9606.ENSP00000445002	9606.ENSP00000356563	0	0	0.900	0	0.900
APOA5	APOA2	9606.ENSP00000445002	9606.ENSP00000356969	0	0	0.720	0.608	0.885
