node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AREG	PLCG1	9606.ENSP00000379097	9606.ENSP00000244007	0	0	0.600	0	0.600
AREG	GAB1	9606.ENSP00000379097	9606.ENSP00000262995	0	0	0.500	0	0.499
AREG	CBL	9606.ENSP00000379097	9606.ENSP00000264033	0	0	0.600	0	0.600
AREG	EGF	9606.ENSP00000379097	9606.ENSP00000265171	0	0	0.300	0.698	0.779
AREG	ERBB3	9606.ENSP00000379097	9606.ENSP00000267101	0	0	0.900	0.461	0.943
AREG	ERBB2	9606.ENSP00000379097	9606.ENSP00000269571	0	0	0.900	0.199	0.916
AREG	EGFR	9606.ENSP00000379097	9606.ENSP00000275493	0	0.730	0.900	0.902	0.997
AREG	PTPN11	9606.ENSP00000379097	9606.ENSP00000340944	0	0	0.500	0	0.499
AREG	EPS15	9606.ENSP00000379097	9606.ENSP00000360798	0	0	0.600	0	0.600
AREG	GRB2	9606.ENSP00000379097	9606.ENSP00000376345	0	0	0.500	0	0.499
AREG	SOS1	9606.ENSP00000379097	9606.ENSP00000387784	0	0	0.500	0	0.499
AREG	PIK3R1	9606.ENSP00000379097	9606.ENSP00000428056	0	0	0.500	0	0.499
AREG	SHC1	9606.ENSP00000379097	9606.ENSP00000401303	0	0	0.500	0	0.499
AXL	CBL	9606.ENSP00000301178	9606.ENSP00000264033	0	0.336	0	0.653	0.759
AXL	ERBB3	9606.ENSP00000301178	9606.ENSP00000267101	0	0.312	0	0.450	0.605
AXL	EGFR	9606.ENSP00000301178	9606.ENSP00000275493	0	0.546	0	0.838	0.923
AXL	PIK3CB	9606.ENSP00000301178	9606.ENSP00000289153	0	0.047	0.600	0	0.602
AXL	PTPN11	9606.ENSP00000301178	9606.ENSP00000340944	0	0.073	0	0.450	0.468
AXL	HSP90AA1	9606.ENSP00000301178	9606.ENSP00000335153	0	0.479	0	0.175	0.552
AXL	GRB2	9606.ENSP00000301178	9606.ENSP00000376345	0	0.532	0	0.640	0.824
AXL	PIK3R1	9606.ENSP00000301178	9606.ENSP00000428056	0	0.509	0.600	0.277	0.845
AXL	SRC	9606.ENSP00000301178	9606.ENSP00000362680	0	0.483	0.600	0.595	0.908
BTC	PLCG1	9606.ENSP00000379092	9606.ENSP00000244007	0	0	0.600	0	0.600
BTC	GAB1	9606.ENSP00000379092	9606.ENSP00000262995	0	0	0.500	0	0.499
BTC	CBL	9606.ENSP00000379092	9606.ENSP00000264033	0	0	0.600	0	0.600
BTC	ERBB3	9606.ENSP00000379092	9606.ENSP00000267101	0	0	0.500	0.090	0.525
BTC	ERBB2	9606.ENSP00000379092	9606.ENSP00000269571	0	0.549	0.900	0.073	0.954
BTC	EGFR	9606.ENSP00000379092	9606.ENSP00000275493	0	0.730	0.900	0.870	0.996
BTC	PTPN11	9606.ENSP00000379092	9606.ENSP00000340944	0	0	0.500	0	0.499
BTC	ERBB4	9606.ENSP00000379092	9606.ENSP00000342235	0	0	0.900	0.844	0.983
BTC	NRG2	9606.ENSP00000379092	9606.ENSP00000354910	0	0	0.500	0	0.499
BTC	EPS15	9606.ENSP00000379092	9606.ENSP00000360798	0	0	0.600	0	0.600
BTC	NRG3	9606.ENSP00000379092	9606.ENSP00000361214	0	0	0.500	0	0.499
BTC	GRB2	9606.ENSP00000379092	9606.ENSP00000376345	0	0	0.500	0	0.499
BTC	NRG1	9606.ENSP00000379092	9606.ENSP00000384620	0	0	0.500	0	0.499
BTC	SHC1	9606.ENSP00000379092	9606.ENSP00000401303	0	0	0.500	0	0.499
BTC	SOS1	9606.ENSP00000379092	9606.ENSP00000387784	0	0	0.500	0	0.499
BTC	PIK3R1	9606.ENSP00000379092	9606.ENSP00000428056	0	0	0.500	0	0.499
BTC	PTK6	9606.ENSP00000379092	9606.ENSP00000442460	0	0	0.600	0	0.600
CAV1	CDH1	9606.ENSP00000339191	9606.ENSP00000261769	0	0.179	0	0.628	0.681
CAV1	STAT3	9606.ENSP00000339191	9606.ENSP00000264657	0	0	0	0.664	0.664
CAV1	EGF	9606.ENSP00000339191	9606.ENSP00000265171	0	0	0	0.406	0.406
CAV1	IGF1R	9606.ENSP00000339191	9606.ENSP00000268035	0	0.073	0	0.663	0.674
CAV1	EGFR	9606.ENSP00000339191	9606.ENSP00000275493	0	0.489	0	0.897	0.945
CAV1	HSP90AA1	9606.ENSP00000339191	9606.ENSP00000335153	0	0.270	0.900	0.638	0.971
CAV1	PTPN11	9606.ENSP00000339191	9606.ENSP00000340944	0	0.504	0	0.067	0.517
CAV1	PTPN1	9606.ENSP00000339191	9606.ENSP00000360683	0	0.504	0	0.067	0.517
CAV1	SHC1	9606.ENSP00000339191	9606.ENSP00000401303	0	0	0	0.528	0.528
CAV1	PIK3R1	9606.ENSP00000339191	9606.ENSP00000428056	0	0	0	0.750	0.750
CAV1	CTNNB1	9606.ENSP00000339191	9606.ENSP00000344456	0	0.505	0	0.755	0.873
CAV1	SRC	9606.ENSP00000339191	9606.ENSP00000362680	0	0.485	0	0.897	0.944
CAV1	ESR1	9606.ENSP00000339191	9606.ENSP00000405330	0	0.492	0.600	0.905	0.979
CBL	HBEGF	9606.ENSP00000264033	9606.ENSP00000230990	0	0	0.600	0	0.600
CBL	PLCG1	9606.ENSP00000264033	9606.ENSP00000244007	0	0.574	0.900	0.720	0.987
CBL	EREG	9606.ENSP00000264033	9606.ENSP00000244869	0	0	0.600	0	0.600
CBL	CDH1	9606.ENSP00000264033	9606.ENSP00000261769	0	0.097	0.360	0.196	0.494
CBL	STAT5A	9606.ENSP00000264033	9606.ENSP00000341208	0	0.483	0	0	0.483
CBL	TGFA	9606.ENSP00000264033	9606.ENSP00000295400	0	0	0.600	0	0.600
CBL	EPGN	9606.ENSP00000264033	9606.ENSP00000411898	0	0	0.600	0	0.600
CBL	ERBB3	9606.ENSP00000264033	9606.ENSP00000267101	0	0.462	0	0.303	0.608
CBL	HSP90AA1	9606.ENSP00000264033	9606.ENSP00000335153	0	0	0.600	0.100	0.624
CBL	ERBB4	9606.ENSP00000264033	9606.ENSP00000342235	0	0.590	0	0.303	0.702
CBL	CTNNB1	9606.ENSP00000264033	9606.ENSP00000344456	0	0.483	0.360	0.352	0.766
CBL	EPS15	9606.ENSP00000264033	9606.ENSP00000360798	0	0.059	0.600	0.479	0.786
CBL	PIK3CB	9606.ENSP00000264033	9606.ENSP00000289153	0	0.488	0.600	0	0.786
CBL	PIK3R1	9606.ENSP00000264033	9606.ENSP00000428056	0	0.596	0.600	0.124	0.846
CBL	EGF	9606.ENSP00000264033	9606.ENSP00000265171	0	0	0.900	0.342	0.931
CBL	PTPN11	9606.ENSP00000264033	9606.ENSP00000340944	0	0.518	0.600	0.686	0.934
CBL	ERBB2	9606.ENSP00000264033	9606.ENSP00000269571	0	0.709	0	0.844	0.952
CBL	SOS1	9606.ENSP00000264033	9606.ENSP00000387784	0	0.400	0.900	0.375	0.959
CBL	MET	9606.ENSP00000264033	9606.ENSP00000317272	0	0.753	0.600	0.697	0.967
CBL	SHC1	9606.ENSP00000264033	9606.ENSP00000401303	0	0.518	0.900	0.654	0.981
CBL	SRC	9606.ENSP00000264033	9606.ENSP00000362680	0	0.670	0.600	0.904	0.986
CBL	GRB2	9606.ENSP00000264033	9606.ENSP00000376345	0	0.756	0.900	0.942	0.998
CBL	EGFR	9606.ENSP00000264033	9606.ENSP00000275493	0	0.847	0.900	0.925	0.998
CBLC	ERBB2	9606.ENSP00000270279	9606.ENSP00000269571	0	0.372	0	0.117	0.422
CBLC	MET	9606.ENSP00000270279	9606.ENSP00000317272	0	0.434	0	0	0.434
CBLC	SRC	9606.ENSP00000270279	9606.ENSP00000362680	0	0.939	0	0	0.939
CBLC	EGFR	9606.ENSP00000270279	9606.ENSP00000275493	0	0.948	0	0.117	0.953
CD44	HBEGF	9606.ENSP00000398632	9606.ENSP00000230990	0	0.270	0	0.741	0.802
CD44	LGALS3	9606.ENSP00000398632	9606.ENSP00000254301	0	0.078	0	0.534	0.551
CD44	STAT3	9606.ENSP00000398632	9606.ENSP00000264657	0	0.270	0	0.882	0.910
CD44	EGF	9606.ENSP00000398632	9606.ENSP00000265171	0	0	0	0.536	0.536
CD44	ERBB3	9606.ENSP00000398632	9606.ENSP00000267101	0	0	0	0.476	0.476
CD44	ERBB2	9606.ENSP00000398632	9606.ENSP00000269571	0	0.483	0	0.899	0.945
CD44	EGFR	9606.ENSP00000398632	9606.ENSP00000275493	0	0.483	0	0.899	0.945
CD44	MET	9606.ENSP00000398632	9606.ENSP00000317272	0	0.475	0	0.890	0.940
CD44	ERBB4	9606.ENSP00000398632	9606.ENSP00000342235	0	0.270	0	0.505	0.623
CD44	SRC	9606.ENSP00000398632	9606.ENSP00000362680	0	0.483	0	0.798	0.891
CD44	GPNMB	9606.ENSP00000398632	9606.ENSP00000371420	0	0	0	0.484	0.483
CD44	GRB2	9606.ENSP00000398632	9606.ENSP00000376345	0	0	0	0.516	0.516
CDH1	HSP90AA1	9606.ENSP00000261769	9606.ENSP00000335153	0	0.417	0	0	0.416
CDH1	ERBB2	9606.ENSP00000261769	9606.ENSP00000269571	0	0.113	0	0.374	0.421
CDH1	PTPN1	9606.ENSP00000261769	9606.ENSP00000360683	0	0.153	0	0.580	0.629
CDH1	SRC	9606.ENSP00000261769	9606.ENSP00000362680	0	0.491	0	0.803	0.895
CDH1	PIK3R1	9606.ENSP00000261769	9606.ENSP00000428056	0	0.182	0.900	0.067	0.917
CDH1	MET	9606.ENSP00000261769	9606.ENSP00000317272	0	0.282	0	0.892	0.919
CDH1	EGFR	9606.ENSP00000261769	9606.ENSP00000275493	0	0.557	0	0.897	0.952
CDH1	IGF1R	9606.ENSP00000261769	9606.ENSP00000268035	0	0.057	0.900	0.862	0.985
CDH1	CTNNB1	9606.ENSP00000261769	9606.ENSP00000344456	0	0.942	0.900	0.902	0.999
CTNNB1	LGALS3	9606.ENSP00000344456	9606.ENSP00000254301	0	0.107	0	0.889	0.897
CTNNB1	ERBB3	9606.ENSP00000344456	9606.ENSP00000267101	0	0.370	0	0.420	0.619
CTNNB1	IGF1R	9606.ENSP00000344456	9606.ENSP00000268035	0	0.351	0.900	0.612	0.972
CTNNB1	ERBB2	9606.ENSP00000344456	9606.ENSP00000269571	0	0.554	0	0.920	0.963
CTNNB1	EGFR	9606.ENSP00000344456	9606.ENSP00000275493	0	0.554	0	0.925	0.965
CTNNB1	MET	9606.ENSP00000344456	9606.ENSP00000317272	0	0.491	0.900	0.679	0.982
CTNNB1	PTPN11	9606.ENSP00000344456	9606.ENSP00000340944	0	0.308	0	0.740	0.812
CTNNB1	ERBB4	9606.ENSP00000344456	9606.ENSP00000342235	0	0.173	0	0.420	0.499
CTNNB1	PTPN1	9606.ENSP00000344456	9606.ENSP00000360683	0	0.308	0	0.614	0.721
CTNNB1	PIK3R1	9606.ENSP00000344456	9606.ENSP00000428056	0	0.647	0	0.495	0.814
CTNNB1	ESR1	9606.ENSP00000344456	9606.ENSP00000405330	0	0.341	0	0.900	0.931
CTNNB1	SRC	9606.ENSP00000344456	9606.ENSP00000362680	0	0.511	0	0.879	0.938
CTNNB1	MUC1	9606.ENSP00000344456	9606.ENSP00000484824	0	0.483	0	0.898	0.945
DCN	MET	9606.ENSP00000052754	9606.ENSP00000317272	0	0.301	0	0.237	0.444
DCN	EGF	9606.ENSP00000052754	9606.ENSP00000265171	0	0.056	0	0.634	0.639
DCN	IGF1R	9606.ENSP00000052754	9606.ENSP00000268035	0	0.082	0	0.850	0.856
DCN	EGFR	9606.ENSP00000052754	9606.ENSP00000275493	0	0.500	0	0.896	0.945
EGF	PLCG1	9606.ENSP00000265171	9606.ENSP00000244007	0	0.062	0.600	0.589	0.832
EGF	EREG	9606.ENSP00000265171	9606.ENSP00000244869	0	0.417	0.300	0.620	0.831
EGF	GAB1	9606.ENSP00000265171	9606.ENSP00000262995	0	0.057	0.900	0	0.901
