node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AP2M1	CD4	9606.ENSP00000292807	9606.ENSP00000011653	0	0	0	0	0	0	0.900	0.134	0.909
AP2M1	GRB2	9606.ENSP00000292807	9606.ENSP00000376345	0	0	0	0	0.096	0.094	0.600	0.303	0.741
AP2M1	CTLA4	9606.ENSP00000292807	9606.ENSP00000303939	0	0	0	0	0	0.877	0	0.743	0.967
B7RP1	CD4	9606.ENSP00000339477	9606.ENSP00000011653	0	0	0	0	0.062	0	0	0.827	0.831
B7RP1	CTLA4	9606.ENSP00000339477	9606.ENSP00000303939	0	0	0	0	0	0	0.800	0.989	0.997
B7RP1	CD28	9606.ENSP00000339477	9606.ENSP00000324890	0	0	0	0	0	0	0.800	0.965	0.992
B7RP1	CD8A	9606.ENSP00000339477	9606.ENSP00000386559	0	0	0	0	0	0	0	0.734	0.734
B7RP1	CD40	9606.ENSP00000339477	9606.ENSP00000361359	0	0	0	0	0.063	0	0	0.732	0.738
B7RP1	ENSP00000483732	9606.ENSP00000339477	9606.ENSP00000483732	0	0	0	0.987	0	0.800	0	0	0.800
CBFB	IL2	9606.ENSP00000415151	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0.046	0.900
CBFB	ITGA5	9606.ENSP00000415151	9606.ENSP00000293379	0	0	0	0	0	0	0.900	0	0.900
CBFB	RUNX1	9606.ENSP00000415151	9606.ENSP00000300305	0	0	0	0	0.062	0.993	0.900	0.750	0.999
CBFB	CTLA4	9606.ENSP00000415151	9606.ENSP00000303939	0	0	0	0	0	0	0.900	0.061	0.902
CBFB	ITGAL	9606.ENSP00000415151	9606.ENSP00000349252	0	0	0	0	0	0	0.900	0.062	0.902
CBFB	FLNA	9606.ENSP00000415151	9606.ENSP00000358866	0	0	0	0	0.062	0	0	0.776	0.781
CBFB	ITGA4	9606.ENSP00000415151	9606.ENSP00000380227	0	0	0	0	0	0	0.900	0	0.900
CD2	CD4	9606.ENSP00000358490	9606.ENSP00000011653	0	0	0	0	0.338	0.213	0	0.861	0.921
CD2	IL2	9606.ENSP00000358490	9606.ENSP00000226730	0	0	0	0	0.069	0	0	0.741	0.749
CD2	CD80	9606.ENSP00000358490	9606.ENSP00000264246	0	0	0	0	0.098	0	0	0.747	0.762
CD2	CTLA4	9606.ENSP00000358490	9606.ENSP00000303939	0	0	0	0	0.343	0	0	0.893	0.926
CD2	CD28	9606.ENSP00000358490	9606.ENSP00000324890	0	0	0	0	0.150	0	0.900	0.903	0.991
CD2	LCK	9606.ENSP00000358490	9606.ENSP00000337825	0	0	0	0	0.402	0.487	0	0.974	0.991
CD2	FYN	9606.ENSP00000358490	9606.ENSP00000346671	0	0	0	0	0.089	0.270	0	0.720	0.797
CD2	ITGAL	9606.ENSP00000358490	9606.ENSP00000349252	0	0	0	0	0.335	0	0	0.733	0.815
CD2	CD247	9606.ENSP00000358490	9606.ENSP00000354782	0	0	0	0	0.776	0.213	0.900	0.747	0.994
CD2	ITGB2	9606.ENSP00000358490	9606.ENSP00000380948	0	0	0	0	0.527	0	0	0.425	0.716
CD2	ITK	9606.ENSP00000358490	9606.ENSP00000398655	0	0	0	0	0.770	0.270	0	0.409	0.892
CD2	CD8A	9606.ENSP00000358490	9606.ENSP00000386559	0	0	0	0	0.807	0	0	0.857	0.971
CD247	CD4	9606.ENSP00000354782	9606.ENSP00000011653	0	0	0	0	0.233	0	0.900	0.873	0.989
CD247	IL2	9606.ENSP00000354782	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0.715	0.970
CD247	CD80	9606.ENSP00000354782	9606.ENSP00000264246	0	0	0	0	0.090	0	0.900	0.556	0.956
CD247	CTLA4	9606.ENSP00000354782	9606.ENSP00000303939	0	0	0	0	0.170	0	0	0.972	0.976
