node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AP1M2	TFRC	9606.ENSP00000250244	9606.ENSP00000353224	0	0	0.600	0.565	0.818
AP1M2	AP2B1	9606.ENSP00000250244	9606.ENSP00000482835	0	0.851	0.360	0	0.900
AP2B1	TFRC	9606.ENSP00000482835	9606.ENSP00000353224	0	0.334	0.600	0	0.722
B2M	HFE2	9606.ENSP00000452780	9606.ENSP00000337014	0	0	0.720	0	0.720
B2M	TFRC	9606.ENSP00000452780	9606.ENSP00000353224	0	0.933	0.720	0.813	0.996
B2M	TF	9606.ENSP00000452780	9606.ENSP00000385834	0	0	0.720	0	0.720
B2M	HFE	9606.ENSP00000452780	9606.ENSP00000417404	0	0.933	0.720	0.898	0.997
B2M	TFR2	9606.ENSP00000452780	9606.ENSP00000420525	0	0	0.720	0	0.720
FTH1	TFRC	9606.ENSP00000273550	9606.ENSP00000353224	0	0.847	0	0.786	0.966
GABARAP	TFRC	9606.ENSP00000306866	9606.ENSP00000353224	0	0.315	0	0.678	0.770
GTPBP1	TFRC	9606.ENSP00000216044	9606.ENSP00000353224	0	0	0	0.896	0.896
HFE	HFE2	9606.ENSP00000417404	9606.ENSP00000337014	0	0	0.720	0.874	0.963
HFE	TFRC	9606.ENSP00000417404	9606.ENSP00000353224	0	0.909	0.720	0.899	0.997
HFE	TF	9606.ENSP00000417404	9606.ENSP00000385834	0	0.161	0.720	0	0.755
HFE	TFR2	9606.ENSP00000417404	9606.ENSP00000420525	0	0	0.720	0.900	0.970
HFE2	TF	9606.ENSP00000337014	9606.ENSP00000385834	0	0	0.720	0	0.720
HFE2	TFRC	9606.ENSP00000337014	9606.ENSP00000353224	0	0	0.720	0.251	0.781
HFE2	TFR2	9606.ENSP00000337014	9606.ENSP00000420525	0	0	0.720	0.911	0.974
HSPA8	TFRC	9606.ENSP00000432083	9606.ENSP00000353224	0	0	0	0.752	0.752
RAB8A	TFRC	9606.ENSP00000300935	9606.ENSP00000353224	0	0.483	0	0.637	0.804
TF	TFRC	9606.ENSP00000385834	9606.ENSP00000353224	0	0.933	0.720	0.729	0.994
TF	TFR2	9606.ENSP00000385834	9606.ENSP00000420525	0	0.270	0.720	0	0.786
TFR2	TFRC	9606.ENSP00000420525	9606.ENSP00000353224	0	0.166	0.720	0.819	0.954
